Participant,Code,Gender,Language Background,,,,,,
611,101,female,"English, Russian",,,,,,
612,101,female,"English, Russian",,,,,,
613,101,no response,"English, Polish",,,,,,
614,101,female,"English, Spanish, German",,,,,,
615,101,female,"English, Greek",,,,,,
616,101,female,"English, Spanish, German",,,,,,
618,101,female,"English, Greek",,,,,,
619,101,female,"English, Russian, Belarusian, Ukranian",,,,,,
620,101,male,"English, Greek, Russian",,,,,,
621,101,male,"English, Russian, French",,,,,,
622,101,female,"English, Greek",,,,,,
623,112,female,"English, Bengali, Hindi",,,,,,
626,112,female,"English, Urdu, Punjabi, Hindi",,,,,,
627,112,female,"English, Bengali",,,,,,
628,112,female,"English, Urdu",,,,,,
631,112,female,"English, Bengali",,,,,,
632,112,female,"English, Urdu",,,,,,
633,112,female,"English, Urdu, Hindi",,,,,,
634,112,female,"English, Urdu, Hindi, Punjabi",,,,,,
635,112,male,"English, Bengali",,,,,,
636,112,female,"English, Urdu",,,,,,
637,112,female,"English, Gujarati",,,,,,
641,112,female,"English, Urdu, Hindi, Punjabi",,,,,,
643,113,female,"English, Tagalog-Filipino",,,,,,
644,113,female,"English, Tagalog-Filipino",,,,,,
646,113,female,"English, Tagalog-Filipino",,,,,,
647,113,female,"English, Tagalog-Filipino, Korean",,,,,,
651,113,female,"English, Tagalog-Filipino",,,,,,
652,113,female,"English, Tagalog-Filipino",,,,,,
657,113,female,"English, Tagalog-Filipino",,,,,,
662,113,female,"English, Tagalog-Filipino",,,,,,
664,113,male,"English, Tagalog-Filipino",,,,,,
665,113,female,"English, Tagalog-Filipino",,,,,,
667,113,female,"English, Bahasa-Indonesian",,,,,,
668,111,female,"English, Korean",,,,,,
671,111,female,"English, Japanese",,,,,,
676,111,female,"English, Mandarin, Fuzhounese",,,,,,
677,111,female,"English, Japanese, Spanish",,,,,,
678,111,female,"English, Mandarin",,,,,,
679,111,female,"English, Japanese",,,,,,
680,111,male,"English, Mandarin",,,,,,
681,111,male,"English, Korean",,,,,,
682,111,female,"English, Japanese",,,,,,
683,113,female,"English, Tagalog-Filipino",,,,,,
684,113,male,"English, Tagalog-Filipino",,,,,,
685,113,female,"English, Tagalog-Filipino",,,,,,
686,113,male,"English, Tagalog-Filipino",,,,,,
687,113,male,"English, Malay, Indonesian, Japanese, Iban",,,,,,
689,113,female,"English, Tagalog-Filipino, Japanese",,,,,,
690,113,female,"English, Indonesian",,,,,,
691,113,female,"English, Indonesian",,,,,,
692,113,female,"English, Tagalog-Filipino",,,,,,
693,113,female,"English, Indonesian",,,,,,
694,113,female,"English, Tagalog-Filipino, Korean",,,,,,
695,113,male,"English, Tagalog-Filipino, Spanish",,,,,,
697,113,female,"English, Tagalog-Filipino",,,,,,
698,101,female,"English, Italian, Spanish",,,,,,
699,101,male,"English, Italian",,,,,,
700,101,female,"English, Polish, Italian, Spanish",,,,,,
701,101,female,"English, Spanish, French",,,,,,
702,101,female,"English, French, Spanish",,,,,,
704,101,female,"English, French",,,,,,
707,101,female,"English, French, Spanish",,,,,,
708,101,female,"English, German, Spanish",,,,,,
710,101,male,"English, French, German, Spanish",,,,,,
711,101,male,"English, Spanish, German",,,,,,
712,101,female,"English, Slovak, Ukrainian, French",,,,,,
714,101,female,"English, Spanish, English, German",,,,,,
715,101,female,"English, Spanish, German, French",,,,,,
716,101,female,"English, Spanish, English, German",,,,,,
717,101,female,"English, German",,,,,,
